2023,6,19
1999,1,7
1994,10,10
2017,1,9
1988,5,24
1989,5,15
1988,5,26
2023,6,5
1999,5,11
1988,5,26
2008,2,12
1998,12,22
1994,11,23
1994,11,23
1997,10,12
1994,11,17
1994,11,17
1991,6,17
1994,11,14
2010,8,21
2000,4,25
1988,11,23
1994,11,14
1988,5,26
1994,10,10
2023,9,28
1988,5,3
2022,9,13
2023,9,4
1996,4,16
1994,11,17
1987,4,26
2011,10,3
1998,7,2
1997,10,12
2011,6,23
2022,9,1
1994,12,8
2023,11,20
2018,7,9
2023,1,16
2023,4,24
2021,3,22
2022,3,10
1997,1,7
2001,4,17
2001,10,8
2023,9,4
2000,1,10
2024,2,26
2002,4,8
2013,7,2
2023,6,19
1988,5,5
2023,4,21
2021,3,18
2007,9,2
2019,3,1
1982,11,27
1987,3,16
2022,10,14
2003,10,15
2021,7,26
1988,5,3
2022,1,3
1999,1,7
1998,5,6
2023,9,4
1994,11,17
1988,5,3
1988,5,26
